,,Africa,,12443974,,256424,,11588336,,599214,1004,,,,,,Africa,,,,
,,,,721,,15,,706,,0,0,,,,,,,,,,
,World,567838921,191633,6387761,114,538954343,246550,22496817,39058,72848,819.5,,,,All,,,,,,
1,USA,91275149,,1048843,,86646220,,3580086,4183,,,1060390040,, ,North America,,,,,,
2,India,43767534,,525760,,43097510,,144264,698,31093,374,869425632,617646,1407643613,Asia,"322,6772",,,102,,
3,Brazil,33301118,,675408,,31556393,,1069317,8318,154431,3132,63776166,295757,215637311,South America,63193,,,4959,,
4,France,33016578,,150576,,30527965,,2338037,869,503550,2296,271490188,4140610,65567686,Europe,24350,,,35658,,
5,Germany,29692989,,142533,,27786700,104100,1763756,1238,352106,1690,122332384,1450646,84329604,Europe,35921,,,20915,,
6,UK,23075360,,181580,,22375874,19939,517906,146,336315,2646,522526476,7615628,68612396,Europe,33780,,,7548,,
7,Italy,20145859,,169925,,18510884,,1465050,403,334200,2819,232863728,3862985,60280780,Europe,33550,,,24304,,
8,S. Korea,18788056,26299,24753,11,18334599,9571,428704,81,365818,482,15804065,307717,51359046,Asia,"32,0753",512,0.2,8347,,
9,Russia,18490296,,381881,,17908809,,199606,2300,126592,2615,273400000,1871809,146061901,Europe,83821,,,1367,,
10,Turkey,15297539,,99088,,15096774,,101677,975,177491,1150,162743369,1888240,86187855,Asia,68701,,,1180,,
11,Spain,13090476,,109348,,12396745,,584383,339,279761,2337,471036328,10066673,46791659,Europe,44280,,,12489,,
12,Vietnam,10760595,,43091,,9814276,,903228,41,108558,435,85826548,865862,99122712,Asia,"92,3001",,,9112,,
13,Japan,10308445,103602,31594,14,9547252,45487,729599,129,82016,251,59060542,469898,125688082,Asia,"123,9782",824,0.1,5805,,
14,Argentina,9465827,,129202,,9234355,3668,102270,393,205597,2806,35716069,775751,46040624,South America,53561,,,2221,,
15,Australia,8812682,39106,10719,30,8425795,,376168,152,337617,411,75160949,2879441,26102618,Australia/Oceania,"32,4350",1498,1,14411,,
16,Netherlands,8274234,,22422,,8099836,3855,151976,55,480722,1303,21107399,1226312,17212091,Europe,27681,,,8830,,
17,Iran,7278478,,141499,,7068337,,68642,516,84454,1642,52690831,611383,86183080,Asia,126092,,,796,,
18,Mexico,6448477,8861,326504,13,5507077,26031,614896,4798,48966,2479,17197766,130590,131692333,North America,204038,67,0.1,4669,,
19,Colombia,6223497,,140365,,6031815,,51317,342,119711,2700,35781769,688273,51987730,South America,83701,,,987,,
20,Indonesia,6134953,,156849,,5950554,,27550,2771,21956,561,102088338,365364,279415773,Asia,"461,7813",,,99,,
21,Poland,6032475,,116470,,5335771,,580234,408,159749,3084,36555101,968034,37762199,Europe,63241,,,15365,,
22,Portugal,5273845,,24369,,5031512,11013,217964,61,520300,2404,43527258,4294251,10136170,Europe,24160,,,21504,,
23,Ukraine,5020181,,108690,,4908198,149,3293,177,116211,2516,19521252,451893,43198851,Europe,93972,,,76,,
24,DPRK,4771600,310,74,,4770820,480,706,,183460,3,,,26008932,Asia,5351472,12,,27,,
25,Malaysia,4622981,,35855,,4544615,,42511,61,139201,1080,61779045,1860210,33210795,Asia,79261,,,1280,,
26,Austria,4609834,,18931,,4467592,,123311,77,505959,2078,192241115,21099718,9111075,Europe,24810,,,13534,,
27,Thailand,4560843,1814,31016,17,4507095,2361,22732,1496,65009,442,17270775,246174,70156707,Asia,"152,2624",26,0.2,324,,
28,Israel,4498036,,11101,,4415338,,71597,310,482311,1190,41373364,4436346,9326000,Asia,28400,,,7677,,
29,Belgium,4349050,,32051,,4158264,2375,158735,74,371957,2741,34784155,2974947,11692361,Europe,33650,,,13576,,
30,Taiwan,4264788,,8176,,3633734,,622878,,178409,342,21967220,918955,23904571,Asia,"62,9241",,,26057,,
31,Chile,4137152,,59086,,3811661,,266405,186,212702,3038,41381637,2127539,19450473,South America,53290,,,13697,,
32,Canada,4007463,,43555,,3576675,,387233,195,104317,1134,62586673,1629171,38416267,North America,108821,,,10080,,
33,South Africa,3999751,,101918,,3890509,,7324,192,65751,1675,25867414,425227,60832039,Africa,155972,,,120,,
34,Czechia,3952388,,40352,,3898753,,13283,12,367683,3754,55628436,5175005,10749445,Europe,32660,,,1236,,
35,Switzerland,3843522,,14021,,3682853,3527,146648,54,437582,1596,21598881,2459015,8783551,Europe,26260,,,16696,,
36,Greece,3843142,,30476,,3614441,,198225,103,372419,2953,86634526,8395309,10319397,Europe,33390,,,19209,,
37,Peru,3749635,,213825,,3426236,,109574,182,110584,6306,32314304,953012,33907546,South America,91591,,,3232,,
38,Philippines,3733101,,60641,,3652587,,19873,522,33168,539,31151953,276777,112552332,Asia,"301,8564",,,177,,
39,Denmark,3039859,,6551,,3009498,,23810,14,521082,1123,127826356,21911532,5833748,Europe,28910,,,4081,,
40,Romania,2963934,,65813,,2853648,,44473,108,156190,3468,23737992,1250920,18976433,Europe,62881,,,2344,,
41,Sweden,2528166,,19170,,2494449,357,14547,16,247192,1874,18709369,1829312,10227542,Europe,45341,,,1422,,
42,Iraq,2405186,,25270,,2345619,,34297,25,57183,601,18936695,450218,42061191,Asia,"171,6642",,,815,,
43,Serbia,2056691,,16169,,2009887,,30635,11,237337,1866,10041491,1158761,8665712,Europe,45361,,,3535,,
44,Bangladesh,1996340,,29234,,1924960,,42146,1228,11881,174,14499903,86293,168031850,Asia,"845,74812",,,251,,
45,Hungary,1940824,,46696,,1878221,,15907,16,201950,4859,11394556,1185648,9610402,Europe,52061,,,1655,,
46,Slovakia,1806090,,20172,,1777233,,8685,26,330481,3691,7200663,1317589,5465028,Europe,32711,,,1589,,
47,Jordan,1700526,,14068,,1685354,,1104,124,163363,1351,16894012,1622945,10409478,Asia,67401,,,106,,
48,Georgia,1667453,,16847,,1637293,,13313,,419636,4240,16920079,4258151,3973574,Asia,22360,,,3350,,
49,Ireland,1628745,,7537,,1572304,1054,48904,39,322514,1492,12480436,2471300,5050150,Europe,36700,,,9684,,
50,Singapore,1596046,,1453,,1495141,,99452,14,268511,244,24107231,4055678,5944069,Asia,"44,0910",,,16731,,
51,Pakistan,1546744,492,30445,5,1505635,,10664,169,6736,133,29297676,127586,229630041,Asia,"1487,5428",2,0.02,46,,
52,New Zealand,1508728,7974,1784,21,1436904,8675,70040,,301619,357,7334013,1466187,5002100,Australia/Oceania,"32,8041",1594,4,14002,,
53,Norway,1452755,,3504,,1444381,227426,4870,20,263773,636,11002430,1997684,5507594,Europe,"41,5721",,,884,,
54,Kazakhstan,1318044,1477,13664,,1295042,244,9338,24,68526,710,11575012,601792,19234250,Asia,"151,4082",77,,485,,
55,Hong Kong,1294336,,9437,,1208924,,75975,5,169841,1238,50415048,6615382,7620882,Asia,68080,,,9969,,
56,Morocco,1251297,,16184,,1220252,,14861,293,33102,428,12113766,320455,37801818,Africa,"302,3363",,,393,,
57,Bulgaria,1184846,,37294,,1135430,,12122,32,173173,5451,10177040,1487444,6841966,Europe,61831,,,1772,,
58,Finland,1171034,,5012,,1120330,,45692,21,210684,902,11129795,2002392,5558250,Europe,"51,1090",,,8221,,
59,Croatia,1168111,,16156,,1142194,,9761,20,288157,3985,4997769,1232882,4053727,Europe,32511,,,2408,,
60,Lebanon,1140794,,10489,,1087587,,42718,186,168676,1551,4795578,709068,6763213,Asia,66451,,,6316,,
61,Cuba,1106798,,8529,,1097915,,354,23,97838,754,13997964,1237385,11312537,North America,"101,3261",,,31,,
62,Tunisia,1087030,,28823,,N/A,N/A,N/A,29,90056,2388,4743992,393022,12070547,Africa,114193,,,2606,,
63,Lithuania,1074583,,9190,,1038300,,27093,5,406270,3474,10026924,3790902,2644997,Europe,22880,,,10243,,
64,Slovenia,1060248,,6667,,1034542,,19039,16,509852,3206,2693633,1295315,2079520,Europe,23121,,,9155,,
65,Belarus,994037,,7118,,985592,,1327,,105267,754,13646641,1445161,9442993,Europe,"91,3271",,,141,,
66,Guatemala,984477,,18822,,891574,,74081,5,52955,1012,5127997,275837,18590703,North America,199884,,,3985,,
67,Nepal,981408,,11953,,968016,,1439,,32492,396,5785016,191529,30204405,Asia,"312,5275",,,48,,
68,UAE,973416,,2325,,953694,,17397,,96056,229,174124398,17182468,10133841,Asia,"104,3590",,,1717,,
69,Bolivia,969652,1440,21982,3,905056,2457,42614,220,80822,1832,2705422,225501,11997403,South America,125464,120,0.3,3552,,
70,Uruguay,965370,,7373,,955371,,2626,18,275958,2108,6114822,1747965,3498251,South America,44741,,,751,,
71,Panama,934117,,8386,,912594,,13137,16,209766,1883,6637861,1490603,4453139,North America,55311,,,2950,,
72,Mongolia,930677,,2179,,N/A,N/A,N/A,192,274873,644,4030048,1190265,3385840,Asia,"41,5541",,,181710,,
73,Ecuador,927700,,35769,,876652,1239,15279,759,51004,1967,2470170,135807,18188837,South America,205097,,,840,,
74,Costa Rica,904934,,8525,,860711,,35698,52,174399,1643,4659757,898028,5188879,North America,66091,,,6880,,
75,Latvia,844980,,5875,,830399,,8706,1,458293,3186,7362035,3992955,1843756,Europe,23140,,,4722,,
76,Saudi Arabia,803764,,9232,,787966,,6566,150,22378,257,43682740,1216166,35918393,Asia,"453,8911",,,183,,
77,Azerbaijan,794092,,9722,,783453,,917,,76907,942,6972527,675283,10325347,Asia,"131,0621",,,89,,
78,Paraguay,688820,,19083,,647415,,22322,6,94217,2610,2646163,361942,7311023,South America,113833,,,3053,,
