#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,,North America,,"108,116,472","+8,861","1,496,823",+13,"101,112,538","+26,031","5,507,111","9,504",,,,,,North America,,,,,,,
,,Asia,,"164,591,582","+134,252","1,443,365",+47,"158,285,366","+58,216","4,862,851","11,151",,,,,,Asia,,,,,,,
,,South America,,"61,200,615","+1,440","1,310,886",+3,"58,093,628","+7,261","1,796,101","10,461",,,,,,South America,,,,,,,
,,Europe,,"210,829,262",,"1,865,015",,"199,745,369","+146,367","9,218,878","6,754",,,,,,Europe,,,,,,,
,,Oceania,,"10,656,295","+47,080","15,233",+51,"10,128,400","+8,675","512,662",184,,,,,,Australia/Oceania,,,,,,,
,,Africa,,"12,443,974",,"256,424",,"11,588,336",,"599,214","1,004",,,,,,Africa,,,,,,,
,,,,721,,15,,706,,0,0,,,,,,,,,,,,,
,World,"567,838,921","+191,633","6,387,761",+114,"538,954,343","+246,550","22,496,817","39,058","72,848",819.5,,,,All,,,,,,,
1,USA,"91,275,149",,"1,048,843 ",,"86,646,220",,"3,580,086","4,183",,,"1,060,390,040",, ,North America,,,,
2,India,"43,767,534",,"525,760 ",,"43,097,510",,"144,264",698,"31,093",374,"869,425,632","617,646","1,407,643,613 ",Asia,"322,6772",,,102
3,Brazil,"33,301,118",,"675,408 ",,"31,556,393",,"1,069,317","8,318","154,431","3,132","63,776,166","295,757","215,637,311 ",South America,63193,,,"4,959"
4,France,"33,016,578",,"150,576 ",,"30,527,965",,"2,338,037",869,"503,550","2,296","271,490,188","4,140,610","65,567,686 ",Europe,24350,,,"35,658"
5,Germany,"29,692,989",,"142,533 ",,"27,786,700","+104,100","1,763,756","1,238","352,106","1,690","122,332,384","1,450,646","84,329,604 ",Europe,35921,,,"20,915"
6,UK,"23,075,360",,"181,580 ",,"22,375,874","+19,939","517,906",146,"336,315","2,646","522,526,476","7,615,628","68,612,396 ",Europe,33780,,,"7,548"
7,Italy,"20,145,859",,"169,925 ",,"18,510,884",,"1,465,050",403,"334,200","2,819","232,863,728","3,862,985","60,280,780 ",Europe,33550,,,"24,304"
8,S. Korea,"18,788,056","+26,299","24,753 ",+11,"18,334,599","+9,571","428,704",81,"365,818",482,"15,804,065","307,717","51,359,046 ",Asia,"32,0753",512,0.2,"8,347"
9,Russia,"18,490,296",,"381,881 ",,"17,908,809",,"199,606","2,300","126,592","2,615","273,400,000","1,871,809","146,061,901 ",Europe,83821,,,"1,367"
10,Turkey,"15,297,539",,"99,088 ",,"15,096,774",,"101,677",975,"177,491","1,150","162,743,369","1,888,240","86,187,855 ",Asia,68701,,,"1,180"
