#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
1,USA,"91,429,409",,"1,049,274 ",,"86,752,569",,"3,627,566","4,148",,,"1,060,886,881",, ,North America,,,,
2,India,"43,779,265",,"525,760 ",,"43,098,090",,"155,415",698,"31,100",373,"869,687,102","617,816","1,407,680,653 ",Asia,"322,6772",,,110
3,Brazil,"33,339,815",,"675,551 ",,"31,640,771",,"1,023,493","8,318","154,608","3,133","63,776,166","295,751","215,641,433 ",South America,63193,,,"4,746"
4,France,"33,034,311",,"150,835 ",,"30,674,954",,"2,208,522",869,"503,817","2,300","271,490,188","4,140,585","65,568,079 ",Europe,24350,,,"33,683"
5,Germany,"29,692,989",,"142,533 ",,"27,786,700",,"1,763,756","1,269","352,103","1,690","122,332,384","1,450,633","84,330,334 ",Europe,35921,,,"20,915"
6,UK,"23,075,360",,"181,580 ",,"22,396,761","+20,887","497,019",146,"336,310","2,646","522,526,476","7,615,520","68,613,369 ",Europe,33780,,,"7,244"
7,Italy,"20,177,910",,"170,037 ",,"18,553,478",,"1,454,395",417,"334,733","2,821","232,999,370","3,865,250","60,280,538 ",Europe,33550,,,"24,127"
8,S. Korea,"18,861,593","+73,537","24,765 ",+12,"18,344,104","+9,505","492,724",91,"367,249",482,"15,804,065","307,717","51,359,166 ",Asia,"32,0743","1,432",0.2,"9,594"
9,Russia,"18,494,844",,"381,916 ",,"17,911,340",,"201,588","2,300","126,623","2,615","273,400,000","1,871,807","146,062,072 ",Europe,83821,,,"1,380"
10,Turkey,"15,297,539",,"99,088 ",,"15,096,774",,"101,677",975,"177,486","1,150","162,743,369","1,888,186","86,190,334 ",Asia,68701,,,"1,180"
11,Spain,"13,090,476",,"109,348 ",,"12,396,745",,"584,383",339,"279,761","2,337","471,036,328","10,066,662","46,791,709 ",Europe,44280,,,"12,489"
12,Vietnam,"10,761,435",,"43,091 ",,"9,818,357",,"899,987",29,"108,564",435,"85,826,548","865,841","99,125,103 ",Asia,"92,3001",,,"9,079"
13,Japan,"10,308,445",,"31,594 ",,"9,547,252",,"729,599",129,"82,017",251,"59,060,542","469,902","125,687,029 ",Asia,"123,9782",,,"5,805"
14,Argentina,"9,465,827",,"129,202 ",,"9,237,970","+3,615","98,655",393,"205,592","2,806","35,716,069","775,732","46,041,756 ",South America,53561,,,"2,143"
15,Australia,"8,849,079","+36,397","10,770 ",+51,"8,425,795",,"412,514",150,"339,001",413,"75,244,302","2,882,545","26,103,426 ",Australia/Oceania,"32,4240","1,394",2,"15,803"
16,Netherlands,"8,287,266",,"22,432 ",,"8,103,656",,"161,178",54,"481,476","1,303","21,107,399","1,226,305","17,212,194 ",Europe,27671,,,"9,364"
17,Iran,"7,284,165",,"141,513 ",,"7,068,990",,"73,662",579,"84,517","1,642","52,690,831","611,362","86,186,017 ",Asia,126092,,,855
18,Mexico,"6,454,263","+5,786","326,523 ",+19,"5,539,170","+32,093","588,570","4,798","49,009","2,479","17,206,325","130,652","131,696,032 ",North America,204038,44,0.1,"4,469"
19,Colombia,"6,223,497",,"140,365 ",,"6,031,815",,"51,317",342,"119,707","2,700","35,781,769","688,254","51,989,211 ",South America,83701,,,987
20,Indonesia,"6,138,346",,"156,859 ",,"5,952,981",,"28,506","2,771","21,968",561,"102,193,503","365,730","279,423,671 ",Asia,"461,7813",,,102
